year,CP,estimation_method,estimation_method_detailed,fd_pc,fd_2WMV,fd_Car,fd_Bus,fd_lgv,fd_HGVR2,fd_HGVR3,fd_HGVR4,fd_hgva3,fd_hgva5,fd_hgva6,fd_hgv,fd_all_mv
2016,73317,Estimated,Estimated using previous year's AADF on this link,9.65,239,86830,202,17099,5806,750,748,899,3542,11415,23160,127529
2016,73318,Estimated,Estimated using previous year's AADF on this link,9.65,239,86830,202,17099,5806,750,748,899,3542,11415,23160,127529
2016,73319,Counted,Dependent on a neighbouring counted link,8,243,42290,50,5324,819,127,127,55,280,237,1645,49553
2016,73320,Counted,Dependent on a neighbouring counted link,1,205,33398,122,4829,551,172,330,58,153,626,1891,40445
2016,73321,Counted,Dependent on a neighbouring counted link,458,824,16027,354,2819,262,59,74,47,53,36,530,20554
2016,73322,Estimated,Estimated using previous year's AADF on this link,47,172,7761,129,1549,334,51,61,5,36,81,568,10180
2016,73323,Estimated,Estimated using previous year's AADF on this link,70,114,7008,46,1373,158,33,31,26,22,44,314,8856
2016,73324,Estimated,Estimated using previous year's AADF on this link,7.57,186,40101,200,9405,1549,281,347,219,1056,4647,8099,57990
2016,73325,Estimated,Estimated using previous year's AADF on this link,1.95,23,8349,125,2187,417,101,56,74,575,1385,2608,13291
2016,73326,Estimated,Estimated using previous year's AADF on this link,2.78,7,441,3,114,6,1,1,0.63,1.24,3,12,577
2016,73327,Estimated,Estimated using previous year's AADF on this link,16.4,124,37076,212,4642,1125,237,287,254,1351,2096,5350,47405
2016,73328,Estimated,Estimated using previous year's AADF on this link,16.4,124,37076,212,4642,1125,237,287,254,1351,2096,5350,47405
2016,73329,Estimated,Estimated using previous year's AADF on this link,70,166,15846,271,3404,444,173,290,107,226,258,1498,21184
2016,73330,Estimated,Estimated using previous year's AADF on this link,27.03,144,35951,233,8195,1436,283,234,283,1529,2545,6311,50834
2016,73331,Estimated,Estimated using previous year's AADF on this link,22,67,9346,80,2144,223,52,75,10,70,58,489,12126
2016,73332,Estimated,Estimated using previous year's AADF on this link,4,77,5415,13,1454,152,47,35,10,52,95,391,7351
2016,73333,Counted,Manual count,18,11,5481,75,817,115,17,69,40,56,44,341,6726
2016,73334,Counted,Dependent on a neighbouring counted link,15.63,131,26705,84,6089,1266,318,312,308,2315,2283,6803,39811
2016,73335,Estimated,Estimated using previous year's AADF on this link,55,103,16002,159,2793,415,96,102,127,271,360,1372,20429
2016,73336,Counted,Dependent on a neighbouring counted link,23,130,4469,39,786,81,21,15,20,69,85,291,5715
2016,73339,Estimated,Estimated using previous year's AADF on this link,8,19,1468,43,303,63,20,6,1,5,12,107,1940
2016,73340,Estimated,Estimated using previous year's AADF on this link,11.97,49,1768,5,386,47,9,6,5,7,1,75,2285
2016,73341,Estimated,Estimated using previous year's AADF on this link,27,150,4945,26,979,79,30,31,13,34,36,224,6325
2016,73343,Estimated,Estimated using previous year's AADF on this link,36,142,8377,28,2425,302,145,227,26,217,343,1261,12233
2016,73344,Estimated,Estimated using previous year's AADF on this link,2,144,11706,22,3284,461,80,64,84,307,452,1449,16604
2016,73345,Counted,Dependent on a neighbouring counted link,27.61,125,36957,181,6473,603,143,122,162,701,605,2336,46072
2016,73346,Estimated,Estimated using previous year's AADF on this link,4,90,3569,24,816,108,98,135,6,21,30,399,4897
2016,73347,Estimated,Estimated using previous year's AADF on this link,3,19,5034,17,1013,58,14,25,2,4,10,114,6197
2016,73348,Estimated,Estimated using previous year's AADF on this link,19,82,8773,92,1410,157,32,23,6,10,5,233,10590
2016,73349,Estimated,Estimated using previous year's AADF on this link,2,38,347,1,72,9,3,2,1,1.83,4.39,15,473
2016,73350,Estimated,Estimated using previous year's AADF on this link,2,38,347,1,72,9,3,2,1,1.83,4.39,15,473
2016,73351,Estimated,Estimated using previous year's AADF on this link,1,104,2575,15,407,58,24,48,8,25,41,204,3306
2016,73352,Estimated,Estimated using previous year's AADF on this link,293.75,491,4024,46,1009,136,38,25,8,17,48,272,5842
2016,73353,Estimated,Estimated from nearby links,151,154,15837,213,2342,115,29,14,3,7,1,169,18716
2016,73355,Estimated,Estimated using previous year's AADF on this link,181,125,9629,166,1449,51,16,17,3,5,6,99,11468
